Trials	Attacker Request Sampling
0	1426
1	992
2	1044
3	35
4	969
5	850
6	934
7	818
8	1274
9	835
10	1044
11	958
12	37
13	969
14	1302
15	844
16	934
17	21
18	1069
19	971
20	955
21	1005
22	1199
23	38
24	957
25	21
26	840
27	957
28	888
29	821
30	1351
31	914
32	1067
33	1132
34	1365
35	952
36	1049
37	894
38	1019
39	29
40	932
41	953
42	33
43	873
44	1277
45	27
46	1025
47	1026
48	30
49	842
50	1001
51	1061
52	1051
53	981
54	1104
55	22
56	837
57	1164
58	967
59	989
60	22
61	35
62	1246
63	841
64	995
65	894
66	827
67	1285
68	28
69	1005
70	953
71	1004
72	904
73	981
74	24
75	1091
76	1630
77	40
78	883
79	876
80	37
81	1055
82	939
83	39
84	1076
85	24
86	1029
87	928
88	943
89	37
90	33
91	1188
92	1005
93	1060
94	1486
95	36
96	1213
97	964
98	817
99	22
100	1017
